hotelId,HotelName,hotelDescription,HotelType,latLong,bedrooms,isBookable,POOL,PRIVATE_POOL,isFreeBreakfast,hotelStarRating,isFreeCancel,isPayLater,HotelUrl,price,StartDate,EndDate,NightStay,guestRating,totalReviews
436250,St-Ermins-Hotel,"Once a monastery, this newly refurbished hotel is set on a side street 1 block from Westminster Abbey and the Houses of Parliament. Buckingham Palace, St. James Park, and the London Eye are within walking distance. ",Hotel,"51.498644,-0.134356",,TRUE,Pool,private pool,FALSE,4,FALSE,FALSE,https://ww5.thomascook.com/London-Hotels-St-Ermins-Hotel.h436250.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,1388.09,21-Feb,28-Feb,7,4.6,"2,152"
1348282,The-Park-City-Grand-Plaza-Kensington,"Located in Kensington, this hotel is 0.1 mi (0.1 km) from Cromwell Road and within 6 mi (10 km) of Natural History Museum and Kensington High Street. Kensington Palace and Imperial College London are also within 6 mi (10 km). ",Hotel,"51.49569,-0.18931",,TRUE,Pool,private pool,FALSE,4,FALSE,FALSE,https://ww5.thomascook.com/London-Hotels-The-Park-City-Grand-Plaza-Kensington.h1348282.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,784.13,21-Feb,28-Feb,7,4.3,"1,599"
6493618,Chelsea-Cloisters,"Located in London City Centre, this apartment building is within a 15-minute walk of Cromwell Road, Natural History Museum, and Imperial College London. Park Lane and Green Park are also within 2 mi (3 km). South Kensington Underground Station is 7 minutes by foot and Sloane Square Underground Station is 12 minutes. ",Apartment,"51.492774,-0.167046",,TRUE,Pool,private pool,FALSE,3.5,TRUE,FALSE,https://ww5.thomascook.com/London-Hotels-Chelsea-Cloisters.h6493618.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,557.97,21-Feb,28-Feb,7,3.2,"1,014"
582514,St-James-Court,"Buckingham Palace, Westminster Cathedral, and Big Ben are among the many popular attractions within 0.8 km (0.5 mi) of this central London hotel. Victoria Station is a 7-minute walk. St. James' Park and Hyde Park are close by.",Hotel,"51.498763,-0.137396",,TRUE,Pool,private pool,FALSE,4,TRUE,FALSE,https://ww5.thomascook.com/London-Hotels-St-James-Court.h582514.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,1551.75,21-Feb,28-Feb,7,4.4,"2,403"
84048,The-Colonnade,"Situated in Little Venice, an exclusive neighbourhood in London, this boutique hotel is close to Lord's Cricket Ground & Regents Park. Paddington Station is 5 minutes away, with easy access to Heathrow Airport.",Hotel,"51.524183,-0.184254",,TRUE,Pool,private pool,FALSE,4,FALSE,FALSE,https://ww5.thomascook.com/London-Hotels-The-Colonnade.h84048.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,860.78,21-Feb,28-Feb,7,3.9,869
32661871,Aviva-Guest-House,"This aparthotel is located in London (Hammersmith), close to Hammersmith Apollo, Westfield London Shopping Centre, and Kensington High Street. Also nearby are Stamford Bridge Stadium and Cromwell Road. ",Apart hotel,"51.494569,-0.228645",,TRUE,Pool,private pool,FALSE,0,TRUE,TRUE,https://ww5.thomascook.com/London-Hotels-Aviva-Guest-House.h32661871.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,472.5,21-Feb,28-Feb,7,5,2
14898060,88-Studios-Kensington,"Located in Kensington, this apartment building is within a 15-minute walk of Kensington High Street and Cromwell Road. Westfield London Shopping Centre and Kensington Palace are also within 2 mi (3 km). London Kensington Olympia Station and Kensington (Olympia) Station are within a 5-minute walk. ",Apartment,"51.499156,-0.209318",,TRUE,Pool,private pool,FALSE,4,FALSE,FALSE,https://ww5.thomascook.com/London-Hotels-88-Studios-Kensington.h14898060.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,575,21-Feb,28-Feb,7,4.3,408
3005785,The-Arch-London,"Located in London City Centre, this luxury hotel is 1.7 mi (2.8 km) from ZSL London Zoo and within 6 mi (10 km) of Oxford Street and Marble Arch. Park Lane and Baker Street are also within 6 mi (10 km). ",Hotel,"51.516005,-0.160204",,TRUE,Pool,private pool,FALSE,5,FALSE,FALSE,https://ww5.thomascook.com/London-Hotels-The-Arch-London.h3005785.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,1820.07,21-Feb,28-Feb,7,4.8,431
27347295,Bankside,"This hotel is located in London (London City Centre), close to Tate Modern, Globe Theatre, and St. Paul's Cathedral. Also nearby are Borough Market and London Bridge. ",Hotel,"51.506456,-0.104461",,TRUE,Pool,private pool,FALSE,4,FALSE,FALSE,https://ww5.thomascook.com/London-Hotels-Bankside.h27347295.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,1565,21-Feb,28-Feb,7,4.8,6
11805925,Ashburn-Court,"Located in Kensington, this apartment building is within a 5-minute walk of Cromwell Road and Grosvenor Casino Gloucester Road. The Mosaic Rooms and The Drayton Theatre are also within 10 minutes. Gloucester Road Underground Station is only a 3-minute walk and Earl's Court Station is 12 minutes. ",Apartment,"51.494394,-0.18583",,TRUE,Pool,private pool,FALSE,4,FALSE,FALSE,https://ww5.thomascook.com/London-Hotels-Ashburn-Court.h11805925.Hotel-Information?chkin=21%2F2%2F2019&chkout=28%2F2%2F2019&rm1=a2&hwrqCacheKey=0a4674ad-ebe4-4444-8325-af4eb360e95bHWRQ1548596765895&cancellable=false&regionId=2114&vip=false&c=a18eb186-a7cc-48b3-b329-a814f11627eb&,1370.88,21-Feb,28-Feb,7,4.5,49
